home_offense,home_defense,away_offense,away_defense,neutral_location,home_team,away_team
120.7,87.6,122.7,92.0,1,Gonzaga,Villanova
120.7,87.6,122.1,94.1,1,Gonzaga,North Carolina
120.7,87.6,119.2,91.9,1,Gonzaga,Kentucky
120.7,87.6,116.5,89.7,1,Gonzaga,West Virginia
120.7,87.6,117.1,90.4,1,Gonzaga,Louisville
120.7,87.6,113.7,87.0,1,Gonzaga,Virginia
120.7,87.6,119.6,93.2,1,Gonzaga,Wichita St
120.7,87.6,115.9,89.5,1,Gonzaga,Florida
120.7,87.6,120.8,94.9,1,Gonzaga,Kansas
120.7,87.6,120.1,94.8,1,Gonzaga,SMU
120.7,87.6,121.0,95.9,1,Gonzaga,Duke
120.7,87.6,117.3,92.3,1,Gonzaga,Baylor
120.7,87.6,119.0,94.3,1,Gonzaga,St Mary's CA
120.7,87.6,116.9,92.7,1,Gonzaga,Purdue
120.7,87.6,117.7,93.9,1,Gonzaga,Oregon
120.7,87.6,119.6,96.4,1,Gonzaga,Iowa St
120.7,87.6,122.7,99.8,1,Gonzaga,UCLA
120.7,87.6,116.7,94.0,1,Gonzaga,Florida St
120.7,87.6,117.6,94.8,1,Gonzaga,Arizona
120.7,87.6,121.6,99.0,1,Gonzaga,Michigan
120.7,87.6,114.2,91.9,1,Gonzaga,Cincinnati
120.7,87.6,113.6,91.3,1,Gonzaga,Wisconsin
120.7,87.6,124.8,102.7,1,Gonzaga,Oklahoma St
120.7,87.6,118.9,97.8,1,Gonzaga,Notre Dame
120.7,87.6,118.0,97.1,1,Gonzaga,Butler
120.7,87.6,115.6,96.0,1,Gonzaga,Creighton
120.7,87.6,121.0,103.4,1,Gonzaga,Marquette
120.7,87.6,112.0,94.5,1,Gonzaga,Kansas St
120.7,87.6,120.9,103.6,1,Gonzaga,Wake Forest
120.7,87.6,105.5,88.5,1,Gonzaga,South Carolina
120.7,87.6,110.4,93.4,1,Gonzaga,Miami FL
120.7,87.6,109.5,93.0,1,Gonzaga,Minnesota
120.7,87.6,112.3,96.1,1,Gonzaga,Vanderbilt
120.7,87.6,115.9,100.0,1,Gonzaga,Clemson
120.7,87.6,112.3,96.6,1,Gonzaga,Dayton
120.7,87.6,110.7,95.0,1,Gonzaga,Rhode Island
120.7,87.6,116.6,101.0,1,Gonzaga,Arkansas
120.7,87.6,111.2,95.7,1,Gonzaga,Northwestern
120.7,87.6,114.8,99.5,1,Gonzaga,Xavier
120.7,87.6,113.2,97.9,1,Gonzaga,TCU
120.7,87.6,116.6,101.5,1,Gonzaga,Indiana
120.7,87.6,110.6,95.6,1,Gonzaga,Michigan St
120.7,87.6,117.4,102.5,1,Gonzaga,Virginia Tech
120.7,87.6,113.6,98.8,1,Gonzaga,Maryland
120.7,87.6,112.5,97.8,1,Gonzaga,Texas Tech
120.7,87.6,114.2,99.5,1,Gonzaga,Utah
120.7,87.6,111.6,97.0,1,Gonzaga,MTSU
120.7,87.6,114.0,99.5,1,Gonzaga,Houston
120.7,87.6,115.9,101.5,1,Gonzaga,Syracuse
120.7,87.6,106.6,92.3,1,Gonzaga,Illinois St
120.7,87.6,110.0,95.7,1,Gonzaga,VA Commonwealth
120.7,87.6,109.8,95.9,1,Gonzaga,Seton Hall
120.7,87.6,105.4,91.9,1,Gonzaga,Alabama
120.7,87.6,114.5,101.2,1,Gonzaga,Nevada
120.7,87.6,108.1,95.2,1,Gonzaga,Providence
120.7,87.6,108.7,95.9,1,Gonzaga,Georgia
120.7,87.6,104.8,92.1,1,Gonzaga,California
120.7,87.6,109.4,96.9,1,Gonzaga,Princeton
120.7,87.6,117.8,105.4,1,Gonzaga,UNC Wilmington
120.7,87.6,112.5,100.2,1,Gonzaga,USC
120.7,87.6,109.8,97.7,1,Gonzaga,Tennessee
120.7,87.6,110.8,98.9,1,Gonzaga,Vermont
120.7,87.6,108.0,96.5,1,Gonzaga,ETSU
120.7,87.6,107.3,96.3,1,Gonzaga,Oklahoma
120.7,87.6,108.5,97.5,1,Gonzaga,Texas A&M
