team,offense,defense,year
1181,118.9,84.7,2002
1153,116.0,85.9,2002
1268,117.2,88.0,2002
1242,116.7,87.8,2002
1328,113.0,87.0,2002
1231,112.0,87.2,2002
1196,113.0,88.3,2002
1228,113.6,90.4,2002
1332,117.2,94.3,2002
1246,111.4,89.2,2002
1266,111.3,89.8,2002
1425,110.7,90.0,2002
1112,117.2,96.7,2002
1245,114.8,94.3,2002
1390,114.6,94.3,2002
1338,110.1,90.2,2002
1326,114.4,94.6,2002
1163,110.3,91.0,2002
1323,114.0,94.8,2002
1376,105.1,85.9,2002
1301,111.1,92.0,2002
1104,111.9,93.2,2002
1462,109.1,90.5,2002
1211,113.4,94.9,2002
1208,114.6,96.1,2002
1280,109.3,91.0,2002
1139,109.8,92.2,2002
1400,113.9,96.3,2002
1281,114.2,96.7,2002
1448,116.5,99.1,2002
1403,112.4,95.3,2002
1277,110.8,94.0,2002
1272,110.5,93.9,2002
1279,111.2,94.5,2002
1417,111.6,95.3,2002
1207,108.5,92.4,2002
1143,107.7,91.7,2002
1274,108.3,92.5,2002
1329,105.7,90.0,2002
1150,112.1,96.4,2002
1409,114.0,98.4,2002
1173,110.9,95.3,2002
1278,111.5,96.9,2002
1443,108.3,93.8,2002
1428,109.4,95.2,2002
1234,108.3,94.6,2002
1434,109.2,95.6,2002
1396,112.1,98.5,2002
1356,107.1,93.6,2002
1458,108.6,95.3,2002
1218,108.1,95.0,2002
1437,104.6,91.5,2002
1438,110.1,97.1,2002
1397,108.7,96.1,2002
1123,111.3,98.6,2002
1116,106.6,94.0,2002
1393,104.0,91.4,2002
1335,108.1,95.9,2002
1166,109.3,97.5,2002
1132,109.2,97.4,2002
1257,106.1,94.4,2002
1337,108.9,97.2,2002
1140,107.2,95.6,2002
1256,108.0,96.6,2002
1423,105.4,94.0,2002
1261,103.4,92.3,2002
1461,105.7,94.6,2002
1386,112.3,101.5,2002
1113,106.4,95.9,2002
1210,108.8,98.3,2002
1130,107.2,97.3,2002
1399,107.9,98.4,2002
1378,105.8,96.3,2002
1361,104.8,95.5,2002
1429,104.2,95.0,2002
1385,100.6,91.6,2002
1364,106.1,97.2,2002
1382,113.9,105.3,2002
1158,102.9,94.5,2002
1350,102.1,93.8,2002
1424,107.7,99.5,2002
1201,102.2,94.3,2002
1345,107.5,100.0,2002
1371,102.8,95.7,2002
1435,105.5,98.3,2002
1387,95.9,89.1,2002
1160,109.2,102.5,2002
1120,96.5,89.8,2002
1190,104.0,97.4,2002
1321,97.8,91.3,2002
1414,105.8,99.4,2002
1307,108.1,101.7,2002
1454,102.6,96.3,2002
1344,100.6,94.4,2002
1412,100.3,94.2,2002
1308,107.1,101.2,2002
1334,107.5,101.7,2002
1114,104.7,98.9,2002
1449,103.0,97.6,2002
1270,101.1,95.7,2002
1360,105.6,100.4,2002
1178,101.9,96.9,2002
1222,106.7,101.7,2002
1304,103.6,98.7,2002
1353,95.7,90.9,2002
1124,106.1,101.4,2002
1418,97.6,92.9,2002
1374,105.5,101.0,2002
1331,103.2,98.8,2002
